source,target,p_val,lag
LLY,AAPL,0.00042656405411673306,1
LLY,ABBV,0.0037651751185248977,1
LLY,BA,5.531085089664231e-08,1
LLY,BAC,0.0037442018971690144,1
LLY,BRK-B,0.004187321404954788,1
LLY,CAT,0.007782308546227371,1
LLY,COP,0.00048444384321515393,1
LLY,CVX,1.967911177346886e-05,1
LLY,GE,0.00018744712029812005,1
LLY,GOOGL,0.00043267436429690403,1
LLY,GS,0.0007129388597202065,1
LLY,HD,3.45328525829071e-06,3
LLY,HON,0.017045880861075998,1
LLY,JPM,0.00010344053877161037,1
LLY,META,0.0019048484563779747,1
LLY,MSFT,0.008459535961716409,3
LLY,NEE,0.02853715762374581,4
LLY,NVDA,0.010860026045004963,1
LLY,PFE,0.04293940280140486,4
LLY,SLB,0.0045923089019711295,1
LLY,UNH,0.00036385193006035436,4
LLY,UPS,0.004061850084048085,1
LLY,V,0.003435855460646345,3
LLY,XOM,0.002425238278363205,1
META,AMZN,5.612882367803549e-07,1
META,BA,0.0010329031736353706,1
META,COP,0.0427026943317471,2
META,HD,0.00890256342445683,1
META,HON,0.047522147769861106,1
META,JNJ,0.00421869730147272,1
META,NVDA,0.046945346673964675,1
META,PFE,0.007336026117912742,1
META,TSLA,0.049694638807071076,4
META,UNH,0.01897189127691399,1
META,XOM,0.01277739952761445,2
MSFT,AAPL,0.035868621362525624,3
MSFT,ABBV,3.465432132018986e-05,1
MSFT,BA,2.0798057074779845e-05,1
MSFT,BAC,0.005570449437956262,1
MSFT,BRK-B,0.00389742071954209,1
MSFT,CAT,0.00048552624646342385,1
MSFT,COP,8.046453737385045e-05,1
MSFT,CVX,0.0002830195163112353,1
MSFT,GOOGL,0.0019846738991388868,5
MSFT,GS,0.006748544006970822,1
MSFT,HD,2.0573937760518438e-06,1
MSFT,HON,0.004150401909408569,5
MSFT,JNJ,8.44937440843458e-05,5
MSFT,JPM,0.009227521327685189,1
MSFT,LLY,0.0480916943383598,1
MSFT,NVDA,0.00021719011754109507,1
MSFT,PFE,0.010931726368679203,1
MSFT,SLB,0.01376469324081879,1
MSFT,UNH,0.0009088373761597599,1
MSFT,UPS,0.0025417930062047235,1
MSFT,WMT,0.0003607159894583163,3
MSFT,XOM,0.0003706640493268597,2
NEE,AAPL,0.0006029172675953492,2
NEE,AMZN,0.005920432433712442,3
NEE,BA,0.003835501156907209,1
NEE,BAC,0.003524013689022757,1
NEE,BRK-B,0.03556205433999323,1
NEE,CAT,0.023128388016584546,2
NEE,COP,7.314236839048303e-05,1
NEE,CVX,0.00022179242769111045,1
NEE,GE,0.010695233383132588,1
NEE,GOOGL,0.0009320689559559998,2
NEE,GS,0.01520718126263795,4
NEE,HD,9.085498081967321e-05,2
NEE,HON,0.0025354486483789144,1
NEE,JPM,0.0033350005458415814,1
NEE,LLY,0.03256719694198852,5
NEE,META,0.0007001079455655592,3
NEE,MSFT,3.981881281278756e-06,3
